Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Sat Jul 18 11:45:11 2026,1,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,54, 163, 54, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 9, 222
Sat Jul 18 11:45:13 2026,2,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0,54, 159, 52, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 2, 0, 1, 10, 112
Sat Jul 18 11:45:14 2026,3,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0,54, 158, 54, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 3, 0, 1, 9, 208
Sat Jul 18 11:45:15 2026,4,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0,54, 158, 56, 159, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 4, 0, 1, 10, 159
Sat Jul 18 11:45:17 2026,5,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0,54, 158, 52, 157, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 5, 0, 1, 9, 211
Sat Jul 18 11:45:18 2026,6,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0,54, 158, 54, 157, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 6, 0, 1, 10, 176
Sat Jul 18 11:45:19 2026,7,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0,54, 159, 54, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 0, 7, 0, 1, 10, 29
Sat Jul 18 11:45:20 2026,8,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0,54, 157, 54, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8, 0, 8, 0, 1, 10, 144
Sat Jul 18 11:45:22 2026,9,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0,54, 158, 54, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 0, 9, 0, 1, 10, 121
Sat Jul 18 11:45:23 2026,10,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0,54, 159, 54, 159, 0, 0, 0, 0, 0, 1, 0, 0, 0, 10, 0, 10, 0, 1, 10, 149
Sat Jul 18 11:45:24 2026,11,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0,54, 158, 56, 159, 0, 0, 0, 0, 0, 1, 0, 0, 0, 11, 0, 11, 0, 1, 10, 34
Sat Jul 18 11:45:26 2026,12,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0,54, 159, 52, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 12, 0, 12, 0, 1, 10, 78
Sat Jul 18 11:45:27 2026,13,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0,54, 158, 54, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 13, 0, 13, 0, 1, 10, 176
Sat Jul 18 11:45:29 2026,14,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0,54, 159, 54, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 14, 0, 14, 0, 1, 10, 145
Sat Jul 18 11:45:30 2026,15,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0,54, 159, 54, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 15, 0, 15, 0, 1, 9, 255
Sat Jul 18 11:45:31 2026,16,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0,54, 160, 52, 157, 0, 0, 0, 0, 0, 1, 0, 0, 0, 16, 0, 16, 0, 1, 9, 205
Sat Jul 18 11:45:33 2026,17,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0,54, 158, 54, 159, 0, 0, 0, 0, 0, 1, 0, 0, 0, 17, 0, 17, 0, 1, 10, 165
Sat Jul 18 11:45:34 2026,18,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0,54, 158, 52, 157, 0, 0, 0, 0, 0, 1, 0, 0, 0, 18, 0, 18, 0, 1, 10, 182
Sat Jul 18 11:45:35 2026,19,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0,54, 160, 54, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 19, 0, 19, 0, 1, 9, 223
Sat Jul 18 11:45:37 2026,20,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0,54, 158, 52, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 20, 0, 20, 0, 1, 9, 203
Sat Jul 18 11:45:38 2026,21,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0,54, 160, 52, 157, 0, 0, 0, 0, 0, 1, 0, 0, 0, 21, 0, 21, 0, 1, 10, 176
Sat Jul 18 11:45:39 2026,22,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0,54, 158, 54, 159, 0, 0, 0, 0, 0, 1, 0, 0, 0, 22, 0, 22, 0, 1, 9, 235
Sat Jul 18 11:45:41 2026,23,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0,54, 159, 52, 157, 0, 0, 0, 0, 0, 1, 0, 0, 0, 23, 0, 23, 0, 1, 9, 215
Sat Jul 18 11:45:42 2026,24,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0,54, 158, 54, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 24, 0, 24, 0, 1, 10, 145
Sat Jul 18 11:45:44 2026,25,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0,54, 159, 54, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 25, 0, 25, 0, 1, 10, 38
Sat Jul 18 11:45:46 2026,26,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0,54, 158, 54, 157, 0, 0, 0, 0, 0, 1, 0, 0, 0, 26, 0, 26, 0, 1, 9, 206
Sat Jul 18 11:45:47 2026,27,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0,54, 158, 54, 156, 0, 0, 0, 0, 0, 1, 0, 0, 0, 27, 0, 27, 0, 1, 10, 130
Sat Jul 18 11:45:48 2026,28,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0,54, 159, 54, 159, 0, 0, 0, 0, 0, 1, 0, 0, 0, 28, 0, 28, 0, 1, 10, 180
Sat Jul 18 11:45:50 2026,29,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0,54, 160, 54, 159, 0, 0, 0, 0, 0, 1, 0, 0, 0, 29, 0, 29, 0, 1, 10, 90
Sat Jul 18 11:45:51 2026,30,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0,54, 158, 52, 159, 0, 0, 0, 0, 0, 1, 0, 0, 0, 30, 0, 30, 0, 1, 9, 208
Sat Jul 18 11:45:52 2026,31,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0,54, 159, 52, 160, 0, 0, 0, 0, 0, 1, 0, 0, 0, 31, 0, 31, 0, 1, 10, 27
Sat Jul 18 11:45:54 2026,32,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0,54, 158, 54, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 32, 0, 32, 0, 1, 10, 177
Sat Jul 18 11:45:55 2026,33,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0,54, 159, 54, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 33, 0, 33, 0, 1, 9, 203
